"","p of ct","residual 1","residual 2","residual 3","residual 4","measure of or","p of or"
"A",9.72022327473086e-24,7.18947717611224,-6.46746534060298,-0.922633986642039,-3.49785703479814,1,NA
"B",9.72022327473086e-24,-1.32882318872514,1.19537453229898,0.170529428792043,0.646505083030055,3.18358130395394,0
